0,1,hoy,adj_covid
01/01/2020,0,46,0
02/01/2020,0,65,0
03/01/2020,0,74,0
04/01/2020,0,57,0
05/01/2020,0,46,0
06/01/2020,0,68,0
07/01/2020,0,61,0
08/01/2020,0,71,0
09/01/2020,0,67,0
10/01/2020,0,88,0
11/01/2020,0,64,0
12/01/2020,0,65,0
13/01/2020,0,80,0
14/01/2020,0,79,0
15/01/2020,0,77,0
16/01/2020,0,84,0
17/01/2020,0,82,0
18/01/2020,0,60,0
19/01/2020,0,69,0
20/01/2020,0,74,0
21/01/2020,1,78,0.012820513
22/01/2020,0,78,0
23/01/2020,0,98,0
24/01/2020,0,86,0
25/01/2020,0,58,0
26/01/2020,0,83,0
27/01/2020,3,87,0.034482759
28/01/2020,0,85,0
29/01/2020,0,70,0
30/01/2020,0,108,0
31/01/2020,1,98,0.010204082
01/02/2020,1,65,0.015384615
02/02/2020,0,63,0
03/02/2020,1,53,0.018867925
04/02/2020,1,87,0.011494253
05/02/2020,1,77,0.012987013
06/02/2020,1,90,0.011111111
07/02/2020,0,85,0
08/02/2020,1,66,0.015151515
09/02/2020,1,61,0.016393443
10/02/2020,2,86,0.023255814
11/02/2020,2,84,0.023809524
12/02/2020,0,83,0
13/02/2020,2,62,0.032258065
14/02/2020,3,90,0.033333333
15/02/2020,1,69,0.014492754
16/02/2020,1,71,0.014084507
17/02/2020,0,92,0
18/02/2020,1,85,0.011764706
19/02/2020,1,95,0.010526316
20/02/2020,2,108,0.018518519
21/02/2020,4,86,0.046511628
22/02/2020,0,73,0
23/02/2020,1,81,0.012345679
24/02/2020,3,93,0.032258065
25/02/2020,7,94,0.074468085
26/02/2020,4,84,0.047619048
27/02/2020,1,94,0.010638298
28/02/2020,1,99,0.01010101
29/02/2020,1,63,0.015873016
01/03/2020,4,61,0.06557377
02/03/2020,6,68,0.088235294
03/03/2020,3,98,0.030612245
04/03/2020,2,91,0.021978022
05/03/2020,4,73,0.054794521
06/03/2020,1,89,0.011235955
07/03/2020,0,74,0
08/03/2020,2,97,0.020618557
09/03/2020,6,97,0.06185567
10/03/2020,3,98,0.030612245
11/03/2020,3,82,0.036585366
12/03/2020,5,103,0.048543689
13/03/2020,5,119,0.042016807
14/03/2020,2,61,0.032786885
15/03/2020,3,50,0.06
16/03/2020,3,79,0.037974684
17/03/2020,3,94,0.031914894
18/03/2020,4,104,0.038461538
19/03/2020,3,78,0.038461538
20/03/2020,4,91,0.043956044
21/03/2020,2,61,0.032786885
22/03/2020,1,59,0.016949153
23/03/2020,10,81,0.12345679
24/03/2020,3,120,0.025
25/03/2020,0,84,0
26/03/2020,3,98,0.030612245
27/03/2020,0,72,0
28/03/2020,2,66,0.03030303
29/03/2020,1,50,0.02
30/03/2020,2,70,0.028571429
31/03/2020,5,87,0.057471264
01/04/2020,7,103,0.067961165
02/04/2020,4,73,0.054794521
03/04/2020,0,91,0
04/04/2020,2,56,0.035714286
05/04/2020,0,55,0
06/04/2020,1,66,0.015151515
07/04/2020,0,64,0
08/04/2020,2,68,0.029411765
09/04/2020,1,75,0.013333333
10/04/2020,0,70,0
11/04/2020,1,58,0.017241379
12/04/2020,1,39,0.025641026
13/04/2020,2,68,0.029411765
14/04/2020,2,90,0.022222222
15/04/2020,2,85,0.023529412
16/04/2020,1,76,0.013157895
17/04/2020,2,98,0.020408163
18/04/2020,0,48,0
19/04/2020,0,51,0
20/04/2020,1,85,0.011764706
21/04/2020,2,106,0.018867925
22/04/2020,1,95,0.010526316
23/04/2020,0,106,0
24/04/2020,2,97,0.020618557
25/04/2020,1,53,0.018867925
26/04/2020,1,41,0.024390244
27/04/2020,1,68,0.014705882
28/04/2020,1,79,0.012658228
29/04/2020,2,76,0.026315789
30/04/2020,1,107,0.009345794
01/05/2020,1,82,0.012195122
02/05/2020,0,70,0
03/05/2020,1,47,0.021276596
04/05/2020,0,67,0
05/05/2020,1,81,0.012345679
06/05/2020,3,83,0.036144578
07/05/2020,0,94,0
08/05/2020,2,90,0.022222222
09/05/2020,1,58,0.017241379
10/05/2020,1,56,0.017857143
11/05/2020,2,95,0.021052632
12/05/2020,0,94,0
13/05/2020,1,82,0.012195122
14/05/2020,1,71,0.014084507
15/05/2020,2,76,0.026315789
16/05/2020,0,60,0
17/05/2020,2,50,0.04
18/05/2020,0,90,0
19/05/2020,1,78,0.012820513
20/05/2020,2,83,0.024096386
21/05/2020,1,71,0.014084507
22/05/2020,2,92,0.02173913
23/05/2020,2,39,0.051282051
24/05/2020,1,47,0.021276596
25/05/2020,1,77,0.012987013
26/05/2020,1,85,0.011764706
27/05/2020,0,86,0
28/05/2020,1,84,0.011904762
29/05/2020,0,85,0
30/05/2020,1,71,0.014084507
31/05/2020,0,52,0
