,fecha,titulo,periodico,topico
0,22-Nov-1993,Repuntará TLC la economía,reforma,2
1,22-Nov-1993,Reactivará Salinas la economía,reforma,5
2,22-Nov-1993,Debe mantenerse prudencia financiera,reforma,2
3,28-Nov-1993,¿Mutaciones Políticas?,reforma,5
4,29-Nov-1993,Jonathan Heath C./ La Cartera Vencida: Mito y Realidad,reforma,1
5,29-Nov-1993,Dicen analistas que es corrección el actual desplome de Wall Street,reforma,0
6,03-Dic-1993,Everardo Elizondo A. / El futuro del interés,reforma,2
7,03-Dic-1993,El TLC es un acto de defensa propia.- Gurría,reforma,3
8,03-Dic-1993,Proponen regular a las franquicias,reforma,1
9,05-Dic-1993,Presenta Galeano nuevo libro en Guadalajara,reforma,5
10,06-Dic-1993,Las bajas tasas de interés impulsan a la economía de los Estados Unidos,reforma,0
11,06-Dic-1993,Ricardo Medina Macías / Las tasas de interés en 1994: póngale precio al futuro,reforma,6
12,07-Dic-1993,A Corto Plazo / 'Cargada Financiera',reforma,2
13,08-Dic-1993,Coordenadas / ¿Se pasó la dosis?,reforma,6
14,10-Dic-1993,Alerta Boris Yeltsin contra guerra civil,reforma,5
15,14-Dic-1993,What's News,reforma,0
16,14-Dic-1993,Empresa / El GATT o en la ratonera,reforma,1
17,15-Dic-1993,Jorge Suárez Vélez / ¿Qué saben ellos que nosotros ignoramos?,reforma,2
18,16-Dic-1993,Crece la producción industrial en EU,reforma,0
19,20-Dic-1993,Registrará OCDE reactivación,reforma,7
20,22-Dic-1993,Vive la economía círculo vicioso,reforma,7
21,31-Dic-1993,Estabilizan endeudamiento externo,reforma,2
22,01-Ene-1994,Año de recesión,reforma,7
23,04-Ene-1994,Baja la Bolsa por nerviosismo,reforma,8
24,04-Ene-1994,Cae la BMV por corrección y no por Chiapas.- Analistas,reforma,0
25,05-Ene-1994,Descartan efectos negativos para la economía y el peso,reforma,2
26,05-Ene-1994,Recauda AL Dls. 35 mil millones por privatizaciones,reforma,1
27,07-Ene-1994,Adrián Lajous / Autonomía del Banco de México,reforma,5
28,07-Ene-1994,Ricardo Medina Macías / Los fantasmas que vienen del sur,reforma,5
29,08-Ene-1994,Sobreaviso / Riesgo de ruptura,reforma,5
30,09-Ene-1994,El invierno del salinismo,reforma,5
31,11-Ene-1994,Pierde 6 por ciento la Bolsa,reforma,8
32,14-Ene-1994,Empresa  / Derrumbe de Inversión Privada en 1993,reforma,5
33,17-Ene-1994,Peligran las reformas económicas en Rusia,reforma,5
34,17-Ene-1994,Coordenadas / Chiapas y la inversión en México,reforma,6
35,18-Ene-1994,Se ahonda  la crisis  económica  en Rusia,reforma,9
36,20-Ene-1994,Ofrece quedarse ministro ruso,reforma,9
37,20-Ene-1994,Nuestra opinión financiera: Samuel García,reforma,2
38,20-Ene-1994,A Corto Plazo / Alimentando la especulación,reforma,1
39,21-Ene-1994,Dominan conservadores,reforma,5
40,21-Ene-1994,Coordenadas / Tras el nuevo calendario,reforma,6
41,23-Ene-1994,Luis Rubio / Chiapas o el sistema político,reforma,6
42,24-Ene-1994,What's News,reforma,0
43,24-Ene-1994,Rechazo de reforma política indicaría cambio en estructura de poder de Japón,reforma,0
44,26-Ene-1994,Carlos Salazar Lomelín  / El camino hacia la eficiencia,reforma,3
45,27-Ene-1994,Empresa / México sí jugará la carta de Davós,reforma,5
46,27-Ene-1994,El colapso bancario y los temores políticos sacuden al sistema financiero venezolano,reforma,0
47,31-Ene-1994,Promueven retiro de burócratas,reforma,3
48,01-Feb-1994,Sufren desempleo y temor en Chiapas,reforma,5
49,01-Feb-1994,Ricardo Medina Macias / Requisitos para el crecimiento en 1994 (I),reforma,2
50,02-Feb-1994,Coordenadas / Cuidado con la imagen externa,reforma,5
51,04-Feb-1994,Entrevista / Cárdenas en 67 respuestas,reforma,5
52,07-Feb-1994,Pinta mal el futuro de artes gráficas,reforma,1
53,07-Feb-1994,Inicia Brasil y el FMI negociaciones definitivas,reforma,3
54,07-Feb-1994,Clinton y la FED acordes en el incremento de los créditos,reforma,0
55,11-Feb-1994,Son alcanzables las metas económicas,reforma,2
56,15-Feb-1994,Prevalece la incertidumbre,reforma,9
57,16-Feb-1994,José Antonio Crespo / Chiapas y el problema migratorio en EU,reforma,5
58,17-Feb-1994,Es apoyo electoral la política de gasto,reforma,2
59,18-Feb-1994,Empresa / México venció a los tigres,reforma,1
60,18-Feb-1994,Prevé Soto decrecimiento de la economía nacional,reforma,5
61,19-Feb-1994,Afectará elecciones el conflicto,reforma,5
62,24-Feb-1994,Empresa / TLC: primera derrota,reforma,1
63,24-Feb-1994,El difícil arte de privatizar en Brasil,reforma,1
64,25-Feb-1994,"Adrián Lajous / No te revientes, riata",reforma,6
65,26-Feb-1994,Acusa IP reforma al vapor,reforma,3
66,27-Feb-1994,Los sinuosos caminos de la reintegración,reforma,5
67,28-Feb-1994,Empresa / Qué hay detrás de la debacle,reforma,5
68,01-Mar-1994,Coordenadas / Tras la reestructuración de la cartera vencida,reforma,1
69,02-Mar-1994,Empresa / Ex cúpulos contra Camacho,reforma,5
70,04-Mar-1994,Reporta ICA ventas estancadas,reforma,1
71,06-Mar-1994,Guadalupe Loaeza / La mujer antes y ahora,reforma,5
72,10-Mar-1994,Coordenadas / El 'factor Camacho' en los mercados,reforma,6
73,10-Mar-1994,Sigue tendencia alcista de tasas; baja la Bolsa,reforma,2
74,11-Mar-1994,Entrevista / Juan Linz / Legitimar la democracia,reforma,5
75,11-Mar-1994,Empresa / De un campesino a un banquero,reforma,5
76,11-Mar-1994,Carlos Elizondo Mayer-Serra / El Artículo 27 en disputa,reforma,5
77,11-Mar-1994,Bajan acciones mexicanas por la agitación preelectoral,reforma,8
78,14-Mar-1994,Persisten deudas en mercados,reforma,5
79,14-Mar-1994,Empresa / Otra vez las carreteras privadas,reforma,1
80,14-Mar-1994,Desaparece la afición de Penélope,reforma,1
81,15-Mar-1994,Persiste turbulencia en mercados,reforma,8
82,15-Mar-1994,Desciende la bolsa a 81 puntos,reforma,8
83,15-Mar-1994,Al Alza y a la Baja / La bolsa sigue sufriendo el nerviosismo,reforma,1
84,16-Mar-1994,Presentaron proyecto econométrico,reforma,2
85,16-Mar-1994,"Nombres, Nombres y ... Nombres / Ritz-Carlton construirá con Opción tres hoteles más en México: en Reforma, Insurgentes y Guadalajara",reforma,1
86,16-Mar-1994,La semana de los candidatos: 'No renunciaré',reforma,5
87,16-Mar-1994,Coordenadas / Historias de turbulencia financiera,reforma,6
88,16-Mar-1994,Apoyan ingreso chino en la OMC,reforma,0
89,22-Mar-1994,Caen valores mexicanos en EU,reforma,8
90,22-Mar-1994,Federico Reyes Heroles / 1994: Recuerdos del porvenir (I),reforma,5
91,23-Mar-1994,Hay riesgo de 'vía crucis político',reforma,5
92,23-Mar-1994,Prevén crisis de gobernabilidad,reforma,5
93,23-Mar-1994,Reserva Federal incrementa tasas y revela mayor acción,reforma,0
94,23-Mar-1994,Suben tasas de interés en EU,reforma,8
95,24-Mar-1994,Adquiere Interacciones banco,reforma,1
96,24-Mar-1994,'Soy de la cultura del esfuerzo',reforma,5
97,25-Mar-1994,Se alejarán temporalmente del mercado los especuladores,reforma,0
98,25-Mar-1994,Niega PRI apurar decisiones,reforma,5
99,25-Mar-1994,La incertidumbre después de Colosio,reforma,5
100,25-Mar-1994,Condena la violencia medio cultural,reforma,5
101,25-Mar-1994,Carlos Elizondo Meyer-Serra / La muerte de Colosio,reforma,5
102,26-Mar-1994,Sobreaviso  / Después de Colosio,reforma,5
103,27-Mar-1994,Sirve la sátira de 'juicio popular',reforma,5
104,27-Mar-1994,El drama del juego,reforma,5
105,27-Mar-1994,Tabasco: incertidumbre y perspectiva,reforma,5
106,28-Mar-1994,Coordenadas / ¿Estamos frente al fin del sistema?,reforma,5
107,28-Mar-1994,Las crisis políticas están cobrando su precio en las acciones y la deuda,reforma,0
108,29-Mar-1994,Crece el desempleo en industria minera,reforma,1
109,29-Mar-1994,Persiste intranquilidad en mercados,reforma,2
110,30-Mar-1994,A Corto Plazo  / Interpretando al candidato,reforma,5
111,30-Mar-1994,Reciben bien a Zedillo analistas londinenses,reforma,5
112,30-Mar-1994,Tabla / Una semana de incertidumbre...,reforma,8
113,30-Mar-1994,Aprueba IP nominación de Zedillo,reforma,8
114,30-Mar-1994,What's News,reforma,5
115,30-Mar-1994,La crisis política mexicana cobrará su precio económico,reforma,2
116,31-Mar-1994,Cae Bolsa 1.92%; aumenta el dólar,reforma,8
117,31-Mar-1994,Suben 32% reservas en dólares,reforma,2
118,04-Abr-1994,Fricasé / Mérito,reforma,5
119,04-Abr-1994,Pronostican inflación en EU,reforma,0
120,04-Abr-1994,Viven los mercados ola de inestabilidad,reforma,8
121,05-Abr-1994,"Nombres, Nombres y... Nombre / Más de un factor en la caída de ayer; se rehacen portafolios; se prevé alza de tasas; habría emisoras afectadas por movi",reforma,1
122,05-Abr-1994,Coordenadas / Tres certezas en la política financiera,reforma,2
123,05-Abr-1994,Carlos Salazar Lomelín   / El camino de la modernidad ,reforma,3
124,05-Abr-1994,Impulsará  EU  a México a crecer ,reforma,7
125,06-Abr-1994,"Nombres, Nombres y... Nombres / Además de su alianza con Heinz, Herdez está por cerrar con Hormel, líder en cárnicos en EU, y con Knotts's Berry Farm",reforma,1
126,06-Abr-1994,Coordenadas / Por qué será bajo el crecimiento de 1994,reforma,2
127,06-Abr-1994,Crecería PIB 3.5% durante este año,reforma,2
128,07-Abr-1994,Suben Cetes para retener a los capitales,reforma,8
129,07-Abr-1994,Coordenadas / Enfrentando el temporal,reforma,6
130,07-Abr-1994,Al Alza y a la Baja / Un ambiente cargado de incertidumbre,reforma,1
131,07-Abr-1994,Advierte FMI de alza en tasas,reforma,2
132,09-Abr-1994,Aumento en tasas es tansitorio.- Aspe,reforma,3
133,10-Abr-1994,"Chiapas, la herencia y el diálogo",reforma,5
134,11-Abr-1994,Empresa / ¿Toca piso la crisis financiera?,reforma,1
135,11-Abr-1994,Jonathan Heath C. / El tipo de cambio ante la crisis política,reforma,2
136,11-Abr-1994,What's News,reforma,1
137,11-Abr-1994,La partida de Hosokawa promete más inestabilidad en el corto plazo,reforma,5
138,12-Abr-1994,Humberto Musacchio / Crisis política y solución colectiva,reforma,5
139,12-Abr-1994,Inicia la economía su recuperación,reforma,7
140,13-Abr-1994,Empresa / La banca pesca en el río revuelto,reforma,1
141,13-Abr-1994,Tendrá problemas la economía mexicana,reforma,2
142,13-Abr-1994,Recobra México inversiones pero la Bolsa no las captura,reforma,0
143,13-Abr-1994,Emitirán reglas de banca foránea,reforma,2
144,15-Abr-1994,Se encarecerá cartera vencida de industriales,reforma,2
145,16-Abr-1994,Rechazan acelerar la desgravación,reforma,1
146,18-Abr-1994,Ajusta ICA a la baja su obra proyectada para '94,reforma,1
147,19-Abr-1994,Defiende panista a Gutiérrez Barrios,reforma,5
148,20-Abr-1994,Empresa / Zedillo convenció a los banqueros,reforma,5
149,20-Abr-1994,Asegura Noyola estabilidad,reforma,5
150,21-Abr-1994,A Corto Plazo / Día escalofriante,reforma,8
151,21-Abr-1994,Puerta del Sol / Balada de la triste España,reforma,5
152,21-Abr-1994,Invertirá Grupo Cemex Dls. 400 millones en '94,reforma,1
153,22-Abr-1994,Seguirá economía incierta,reforma,5
154,22-Abr-1994,"Zedillo ve riesgos económicos, pero no planea grandes pasos",reforma,5
155,23-Abr-1994,'Alza en tasas es transitoria',reforma,2
156,23-Abr-1994,Plasman artistas su arte en CU,reforma,5
157,24-Abr-1994,Luis Rubio / ¿Quién va a liderear el cambio político?,reforma,6
158,24-Abr-1994,Entrevista / Diego Fernández de Cevallos / Ni lenguaraz ni irresponsable,reforma,5
159,25-Abr-1994,Everardo Elizondo / Los juicios y la realidad,reforma,6
160,25-Abr-1994,A Corto Plazo / Plan de re-confianza,reforma,2
161,25-Abr-1994,Estados Unidos necesita un respiro de la fiebre de pactos comerciales,reforma,4
162,26-Abr-1994,León Opalín / Industria maquiladora avance sostenido,reforma,1
163,26-Abr-1994,Crecerá 185% por ciento sector maquilador,reforma,1
164,26-Abr-1994,Desiste Sutherland dirigir OMC,reforma,5
165,26-Abr-1994,Secuestran a alto ejecutivo y retroceden los mercados,reforma,5
166,28-Abr-1994,Crecen las importaciones de autos,reforma,1
167,30-Abr-1994,Estudian apertura a bancos,reforma,3
168,01-May-1994,Llegan más tiendas norteamericanas,reforma,1
169,03-May-1994,Prevé James Jones elecciones limpias,reforma,2
170,05-May-1994,Persisten dudas sobre México,reforma,2
171,05-May-1994,Jorge Alcocer / El fantasma de Silva Herzog,reforma,6
172,05-May-1994,René Villarreal / La modernización y la desestabilización,reforma,3
173,08-May-1994,Deja ver completamente su postura,reforma,5
174,08-May-1994,¿Qué sigue?,reforma,3
