date,today
01/01/1990,0
01/02/1990,0
01/03/1990,0
01/04/1990,0
01/05/1990,0
01/06/1990,0
01/07/1990,0
01/08/1990,0
01/09/1990,0
01/10/1990,0
01/11/1990,0
01/12/1990,0
01/01/1991,0
01/02/1991,0
01/03/1991,0
01/04/1991,0
01/05/1991,0
01/06/1991,0
01/07/1991,0
01/08/1991,0
01/09/1991,0
01/10/1991,0
01/11/1991,0
01/12/1991,0
01/01/1992,0
01/02/1992,0
01/03/1992,0
01/04/1992,0
01/05/1992,0
01/06/1992,0
01/07/1992,0
01/08/1992,0
01/09/1992,0
01/10/1992,0
01/11/1992,0
01/12/1992,0
01/01/1993,0
01/02/1993,0
01/03/1993,0
01/04/1993,0
01/05/1993,0
01/06/1993,0
01/07/1993,0
01/08/1993,0
01/09/1993,0
01/10/1993,0
01/11/1993,0
01/12/1993,0
01/01/1994,0
01/02/1994,0
01/03/1994,0
01/04/1994,0
01/05/1994,0
01/06/1994,0
01/07/1994,0
01/08/1994,0
01/09/1994,0
01/10/1994,0
01/11/1994,0
01/12/1994,0
01/01/1995,0
01/02/1995,0
01/03/1995,0
01/04/1995,0
01/05/1995,0
01/06/1995,0
01/07/1995,0
01/08/1995,0
01/09/1995,0
01/10/1995,0
01/11/1995,0
01/12/1995,0
01/01/1996,0
01/02/1996,0
01/03/1996,0
01/04/1996,0
01/05/1996,0
01/06/1996,0
01/07/1996,0
01/08/1996,0
01/09/1996,0
01/10/1996,0
01/11/1996,0
01/12/1996,0
01/01/1997,0
01/02/1997,0
01/03/1997,0
01/04/1997,0
01/05/1997,0
01/06/1997,0
01/07/1997,0
01/08/1997,0
01/09/1997,0
01/10/1997,0
01/11/1997,0
01/12/1997,0
01/01/1998,0
01/02/1998,0
01/03/1998,0
01/04/1998,0
01/05/1998,0
01/06/1998,0
01/07/1998,0
01/08/1998,0
01/09/1998,0
01/10/1998,0
01/11/1998,379
01/12/1998,1019
01/01/1999,962
01/02/1999,1045
01/03/1999,1076
01/04/1999,1066
01/05/1999,1143
01/06/1999,1089
01/07/1999,1324
01/08/1999,1197
01/09/1999,1181
01/10/1999,1444
01/11/1999,1263
01/12/1999,1234
01/01/2000,1190
01/02/2000,1143
01/03/2000,1280
01/04/2000,1180
01/05/2000,1323
01/06/2000,1270
01/07/2000,1235
01/08/2000,1241
01/09/2000,1318
01/10/2000,1326
01/11/2000,1330
01/12/2000,1299
01/01/2001,1183
01/02/2001,1146
01/03/2001,1414
01/04/2001,1154
01/05/2001,1433
01/06/2001,1289
01/07/2001,1369
01/08/2001,1328
01/09/2001,1244
01/10/2001,1248
01/11/2001,1417
01/12/2001,1336
01/01/2002,1146
01/02/2002,1252
01/03/2002,1330
01/04/2002,1236
01/05/2002,1393
01/06/2002,1685
01/07/2002,1463
01/08/2002,2118
01/09/2002,2128
01/10/2002,2673
01/11/2002,2399
01/12/2002,2516
01/01/2003,2276
01/02/2003,2198
01/03/2003,3010
01/04/2003,2412
01/05/2003,2632
01/06/2003,2232
01/07/2003,2261
01/08/2003,2191
01/09/2003,2320
01/10/2003,2415
01/11/2003,2488
01/12/2003,2391
01/01/2004,2195
01/02/2004,2195
01/03/2004,2527
01/04/2004,2169
01/05/2004,2348
01/06/2004,2412
01/07/2004,2388
01/08/2004,2441
01/09/2004,2479
01/10/2004,2762
01/11/2004,2621
01/12/2004,2307
01/01/2005,2076
01/02/2005,2158
01/03/2005,2567
01/04/2005,2306
01/05/2005,2478
01/06/2005,2415
01/07/2005,2309
01/08/2005,2364
01/09/2005,2677
01/10/2005,2585
01/11/2005,2587
01/12/2005,2321
01/01/2006,2239
01/02/2006,2129
01/03/2006,2636
01/04/2006,2269
01/05/2006,2781
01/06/2006,2492
01/07/2006,2590
01/08/2006,2714
01/09/2006,2563
01/10/2006,2622
01/11/2006,2669
01/12/2006,2342
01/01/2007,2743
01/02/2007,2382
01/03/2007,2994
01/04/2007,2580
01/05/2007,2829
01/06/2007,2531
01/07/2007,2598
01/08/2007,2401
01/09/2007,2511
01/10/2007,2712
01/11/2007,2605
01/12/2007,2263
01/01/2008,2388
01/02/2008,2387
01/03/2008,2530
01/04/2008,2675
01/05/2008,2767
01/06/2008,2649
01/07/2008,2723
01/08/2008,2668
01/09/2008,2673
01/10/2008,2966
01/11/2008,2887
01/12/2008,2466
01/01/2009,2553
01/02/2009,2362
01/03/2009,2743
01/04/2009,2480
01/05/2009,2404
01/06/2009,2509
01/07/2009,2546
01/08/2009,2543
01/09/2009,2454
01/10/2009,2738
01/11/2009,2583
01/12/2009,2240
