,date,index,index,index,index,index,index,index,index,index,index
topico,,0,1,2,3,4,5,6,7,8,9
0,1990-01-31,,5.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0
1,1990-02-28,,4.0,1.0,,1.0,3.0,6.0,3.0,3.0,3.0
2,1990-03-31,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,,4.0
3,1990-04-30,,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,
4,1990-05-31,,8.0,,6.0,2.0,2.0,,2.0,1.0,3.0
5,1990-06-30,,2.0,,1.0,1.0,2.0,2.0,,2.0,1.0
6,1990-07-31,,2.0,,,1.0,,2.0,1.0,,2.0
7,1990-08-31,1.0,3.0,1.0,1.0,1.0,5.0,1.0,,,12.0
8,1990-09-30,2.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,9.0
9,1990-10-31,,6.0,1.0,,1.0,4.0,1.0,,,3.0
10,1990-11-30,,4.0,,3.0,1.0,,3.0,1.0,3.0,4.0
11,1990-12-31,,1.0,,2.0,,3.0,,2.0,,3.0
12,1991-01-31,,10.0,,7.0,,4.0,8.0,2.0,4.0,17.0
13,1991-02-28,1.0,3.0,4.0,8.0,3.0,4.0,3.0,2.0,3.0,5.0
14,1991-03-31,1.0,,1.0,2.0,1.0,3.0,4.0,,,6.0
15,1991-04-30,,3.0,1.0,2.0,,1.0,,,,1.0
16,1991-05-31,,2.0,1.0,6.0,1.0,2.0,1.0,3.0,1.0,
17,1991-06-30,1.0,2.0,,6.0,1.0,1.0,,,3.0,
18,1991-07-31,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0
19,1991-08-31,1.0,,2.0,,2.0,4.0,3.0,,2.0,7.0
20,1991-09-30,,4.0,1.0,3.0,1.0,1.0,5.0,,1.0,1.0
21,1991-10-31,2.0,2.0,,3.0,1.0,4.0,1.0,1.0,2.0,3.0
22,1991-11-30,,2.0,,1.0,3.0,,1.0,2.0,1.0,2.0
23,1991-12-31,2.0,6.0,,2.0,1.0,2.0,,4.0,1.0,4.0
24,1992-01-31,,1.0,,1.0,3.0,1.0,,1.0,1.0,
25,1992-02-29,,2.0,,4.0,,,,1.0,,1.0
26,1992-03-31,,2.0,1.0,5.0,1.0,1.0,,1.0,,1.0
27,1992-04-30,,,1.0,1.0,,,2.0,,1.0,4.0
28,1992-05-31,,3.0,1.0,3.0,,,,,,
29,1992-06-30,2.0,5.0,5.0,,,2.0,4.0,,2.0,18.0
30,1992-07-31,,7.0,2.0,1.0,2.0,1.0,3.0,1.0,,6.0
31,1992-08-31,1.0,2.0,2.0,8.0,3.0,1.0,5.0,1.0,1.0,4.0
32,1992-09-30,1.0,6.0,2.0,6.0,1.0,9.0,5.0,1.0,3.0,7.0
33,1992-10-31,,7.0,3.0,7.0,2.0,1.0,12.0,5.0,1.0,8.0
34,1992-11-30,3.0,8.0,5.0,4.0,1.0,4.0,4.0,1.0,3.0,2.0
35,1992-12-31,3.0,6.0,1.0,4.0,1.0,2.0,1.0,,2.0,1.0
36,1993-01-31,,,1.0,,1.0,,,,1.0,
37,1993-02-28,1.0,4.0,2.0,1.0,1.0,,4.0,,1.0,1.0
38,1993-03-31,1.0,2.0,3.0,2.0,,2.0,3.0,1.0,1.0,
39,1993-04-30,,,3.0,1.0,2.0,4.0,1.0,,1.0,
40,1993-05-31,,6.0,4.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0
41,1993-06-30,,9.0,4.0,2.0,5.0,,3.0,,1.0,4.0
42,1993-07-31,2.0,5.0,2.0,3.0,3.0,2.0,6.0,2.0,3.0,1.0
43,1993-08-31,1.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,
44,1993-09-30,1.0,3.0,1.0,2.0,7.0,,6.0,,1.0,3.0
45,1993-10-31,,4.0,3.0,6.0,4.0,,5.0,3.0,6.0,2.0
46,1993-11-30,,6.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,1.0
47,1993-12-31,1.0,9.0,2.0,4.0,9.0,4.0,6.0,,2.0,
48,1994-01-31,,3.0,12.0,4.0,8.0,10.0,,3.0,9.0,6.0
49,1994-02-28,4.0,5.0,6.0,4.0,2.0,3.0,4.0,1.0,5.0,1.0
50,1994-03-31,6.0,11.0,31.0,4.0,8.0,3.0,4.0,,12.0,19.0
51,1994-04-30,4.0,17.0,15.0,10.0,6.0,7.0,16.0,6.0,12.0,3.0
52,1994-05-31,6.0,2.0,3.0,5.0,16.0,2.0,17.0,3.0,8.0,6.0
53,1994-06-30,1.0,9.0,9.0,7.0,5.0,6.0,11.0,,10.0,4.0
54,1994-07-31,1.0,3.0,15.0,6.0,18.0,5.0,19.0,2.0,5.0,1.0
55,1994-08-31,1.0,10.0,19.0,3.0,9.0,6.0,15.0,5.0,5.0,4.0
56,1994-09-30,2.0,3.0,2.0,4.0,17.0,2.0,5.0,4.0,10.0,3.0
57,1994-10-31,1.0,13.0,4.0,2.0,8.0,4.0,6.0,4.0,11.0,3.0
58,1994-11-30,2.0,10.0,14.0,4.0,6.0,2.0,7.0,4.0,7.0,2.0
59,1994-12-31,2.0,8.0,17.0,4.0,6.0,11.0,22.0,7.0,4.0,8.0
60,1995-01-31,3.0,24.0,16.0,7.0,,4.0,26.0,9.0,19.0,9.0
61,1995-02-28,4.0,9.0,14.0,2.0,2.0,5.0,30.0,5.0,3.0,1.0
62,1995-03-31,8.0,10.0,10.0,6.0,,3.0,10.0,6.0,9.0,3.0
63,1995-04-30,1.0,7.0,3.0,1.0,1.0,2.0,4.0,1.0,6.0,2.0
64,1995-05-31,4.0,12.0,6.0,6.0,,3.0,8.0,1.0,6.0,1.0
65,1995-06-30,3.0,1.0,4.0,2.0,,,,2.0,1.0,
66,1995-07-31,2.0,2.0,5.0,1.0,,5.0,7.0,5.0,4.0,1.0
67,1995-08-31,1.0,9.0,4.0,,,7.0,2.0,1.0,2.0,
68,1995-09-30,3.0,5.0,6.0,,,2.0,5.0,2.0,9.0,
69,1995-10-31,1.0,14.0,22.0,2.0,3.0,3.0,15.0,5.0,9.0,5.0
70,1995-11-30,6.0,23.0,9.0,,2.0,5.0,30.0,4.0,9.0,2.0
71,1995-12-31,6.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,
72,1996-01-31,4.0,,10.0,2.0,,3.0,4.0,1.0,6.0,2.0
73,1996-02-29,1.0,3.0,4.0,2.0,1.0,3.0,5.0,,3.0,4.0
74,1996-03-31,6.0,1.0,5.0,1.0,1.0,,8.0,1.0,11.0,3.0
75,1996-04-30,,2.0,2.0,,,1.0,2.0,1.0,5.0,
76,1996-05-31,4.0,1.0,5.0,,1.0,2.0,4.0,2.0,4.0,1.0
77,1996-06-30,2.0,1.0,3.0,2.0,,1.0,2.0,1.0,3.0,1.0
78,1996-07-31,1.0,7.0,6.0,,2.0,4.0,11.0,3.0,3.0,2.0
79,1996-08-31,4.0,4.0,3.0,,3.0,,1.0,3.0,4.0,
80,1996-09-30,1.0,5.0,3.0,1.0,,,5.0,,6.0,1.0
81,1996-10-31,1.0,3.0,10.0,3.0,,6.0,16.0,3.0,3.0,4.0
82,1996-11-30,2.0,2.0,10.0,,,1.0,4.0,2.0,5.0,1.0
83,1996-12-31,6.0,,6.0,2.0,1.0,4.0,10.0,1.0,16.0,
84,1997-01-31,3.0,5.0,4.0,,3.0,4.0,4.0,2.0,7.0,1.0
85,1997-02-28,1.0,3.0,2.0,1.0,2.0,4.0,7.0,2.0,2.0,1.0
86,1997-03-31,2.0,4.0,6.0,,,9.0,9.0,,1.0,5.0
