,date,"('date', '')","('index', 0)","('index', 1)","('index', 2)","('index', 3)","('index', 4)","('index', 5)","('index', 6)","('index', 7)","('index', 8)","('index', 9)",today
0,1990-01-31,1990-01-31,,5.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1070
1,1990-02-28,1990-02-28,,4.0,1.0,,1.0,3.0,6.0,3.0,3.0,3.0,1103
2,1990-03-31,1990-03-31,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,,4.0,1150
3,1990-04-30,1990-04-30,,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,939
4,1990-05-31,1990-05-31,,8.0,,6.0,2.0,2.0,,2.0,1.0,3.0,1175
5,1990-06-30,1990-06-30,,2.0,,1.0,1.0,2.0,2.0,,2.0,1.0,1068
6,1990-07-31,1990-07-31,,2.0,,,1.0,,2.0,1.0,,2.0,994
7,1990-08-31,1990-08-31,1.0,3.0,1.0,1.0,1.0,5.0,1.0,,,12.0,905
8,1990-09-30,1990-09-30,2.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,9.0,882
9,1990-10-31,1990-10-31,,6.0,1.0,,1.0,4.0,1.0,,,3.0,1075
10,1990-11-30,1990-11-30,,4.0,,3.0,1.0,,3.0,1.0,3.0,4.0,1044
11,1990-12-31,1990-12-31,,1.0,,2.0,,3.0,,2.0,,3.0,1012
12,1991-01-31,1991-01-31,,10.0,,7.0,,4.0,8.0,2.0,4.0,17.0,973
13,1991-02-28,1991-02-28,1.0,3.0,4.0,8.0,3.0,4.0,3.0,2.0,3.0,5.0,975
14,1991-03-31,1991-03-31,1.0,,1.0,2.0,1.0,3.0,4.0,,,6.0,1008
15,1991-04-30,1991-04-30,,3.0,1.0,2.0,,1.0,,,,1.0,1049
16,1991-05-31,1991-05-31,,2.0,1.0,6.0,1.0,2.0,1.0,3.0,1.0,,1250
17,1991-06-30,1991-06-30,1.0,2.0,,6.0,1.0,1.0,,,3.0,,1175
18,1991-07-31,1991-07-31,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,1258
19,1991-08-31,1991-08-31,1.0,,2.0,,2.0,4.0,3.0,,2.0,7.0,1223
20,1991-09-30,1991-09-30,,4.0,1.0,3.0,1.0,1.0,5.0,,1.0,1.0,968
21,1991-10-31,1991-10-31,2.0,2.0,,3.0,1.0,4.0,1.0,1.0,2.0,3.0,1250
22,1991-11-30,1991-11-30,,2.0,,1.0,3.0,,1.0,2.0,1.0,2.0,1258
23,1991-12-31,1991-12-31,2.0,6.0,,2.0,1.0,2.0,,4.0,1.0,4.0,959
24,1992-01-31,1992-01-31,,1.0,,1.0,3.0,1.0,,1.0,1.0,,977
25,1992-02-29,1992-02-29,,2.0,,4.0,,,,1.0,,1.0,1088
26,1992-03-31,1992-03-31,,2.0,1.0,5.0,1.0,1.0,,1.0,,1.0,1078
27,1992-04-30,1992-04-30,,,1.0,1.0,,,2.0,,1.0,4.0,1206
28,1992-05-31,1992-05-31,,3.0,1.0,3.0,,,,,,,1246
29,1992-06-30,1992-06-30,2.0,5.0,5.0,,,2.0,4.0,,2.0,18.0,1108
30,1992-07-31,1992-07-31,,7.0,2.0,1.0,2.0,1.0,3.0,1.0,,6.0,1428
31,1992-08-31,1992-08-31,1.0,2.0,2.0,8.0,3.0,1.0,5.0,1.0,1.0,4.0,1338
32,1992-09-30,1992-09-30,1.0,6.0,2.0,6.0,1.0,9.0,5.0,1.0,3.0,7.0,1541
33,1992-10-31,1992-10-31,,7.0,3.0,7.0,2.0,1.0,12.0,5.0,1.0,8.0,2090
34,1992-11-30,1992-11-30,3.0,8.0,5.0,4.0,1.0,4.0,4.0,1.0,3.0,2.0,2154
35,1992-12-31,1992-12-31,3.0,6.0,1.0,4.0,1.0,2.0,1.0,,2.0,1.0,1942
36,1993-01-31,1993-01-31,,,1.0,,1.0,,,,1.0,,1072
37,1993-02-28,1993-02-28,1.0,4.0,2.0,1.0,1.0,,4.0,,1.0,1.0,1688
38,1993-03-31,1993-03-31,1.0,2.0,3.0,2.0,,2.0,3.0,1.0,1.0,,1860
39,1993-04-30,1993-04-30,,,3.0,1.0,2.0,4.0,1.0,,1.0,,1836
40,1993-05-31,1993-05-31,,6.0,4.0,1.0,3.0,2.0,4.0,1.0,1.0,3.0,1936
41,1993-06-30,1993-06-30,,9.0,4.0,2.0,5.0,,3.0,,1.0,4.0,2148
42,1993-07-31,1993-07-31,2.0,5.0,2.0,3.0,3.0,2.0,6.0,2.0,3.0,1.0,2263
43,1993-08-31,1993-08-31,1.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,,2121
44,1993-09-30,1993-09-30,1.0,3.0,1.0,2.0,7.0,,6.0,,1.0,3.0,2085
45,1993-10-31,1993-10-31,,4.0,3.0,6.0,4.0,,5.0,3.0,6.0,2.0,1705
46,1993-11-30,1993-11-30,,6.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,1.0,1573
47,1993-12-31,1993-12-31,1.0,9.0,2.0,4.0,9.0,4.0,6.0,,2.0,,1989
48,1994-01-31,1994-01-31,,3.0,12.0,4.0,8.0,10.0,,3.0,9.0,6.0,2039
