0,1,hoy,adj_covid
01/01/2020,0,46,0
02/01/2020,0,59,0
03/01/2020,0,57,0
04/01/2020,0,44,0
05/01/2020,0,37,0
06/01/2020,0,56,0
07/01/2020,0,58,0
08/01/2020,0,69,0
09/01/2020,0,62,0
10/01/2020,0,73,0
11/01/2020,0,55,0
12/01/2020,0,48,0
13/01/2020,0,73,0
14/01/2020,0,75,0
15/01/2020,0,78,0
16/01/2020,0,77,0
17/01/2020,0,68,0
18/01/2020,0,57,0
19/01/2020,0,62,0
20/01/2020,0,70,0
21/01/2020,1,76,0.013157895
22/01/2020,0,74,0
23/01/2020,0,89,0
24/01/2020,0,68,0
25/01/2020,0,52,0
26/01/2020,0,65,0
27/01/2020,1,74,0.013513514
28/01/2020,0,76,0
29/01/2020,0,66,0
30/01/2020,0,85,0
31/01/2020,1,73,0.01369863
01/02/2020,1,50,0.02
02/02/2020,0,58,0
03/02/2020,1,46,0.02173913
04/02/2020,1,77,0.012987013
05/02/2020,1,80,0.0125
06/02/2020,1,90,0.011111111
07/02/2020,0,61,0
08/02/2020,1,63,0.015873016
09/02/2020,0,48,0
10/02/2020,0,69,0
11/02/2020,2,74,0.027027027
12/02/2020,0,71,0
13/02/2020,2,69,0.028985507
14/02/2020,2,91,0.021978022
15/02/2020,1,55,0.018181818
16/02/2020,1,60,0.016666667
17/02/2020,0,81,0
18/02/2020,0,72,0
19/02/2020,1,81,0.012345679
20/02/2020,1,105,0.00952381
21/02/2020,4,77,0.051948052
22/02/2020,0,58,0
23/02/2020,1,64,0.015625
24/02/2020,3,85,0.035294118
25/02/2020,7,90,0.077777778
26/02/2020,4,81,0.049382716
27/02/2020,1,78,0.012820513
28/02/2020,1,80,0.0125
29/02/2020,1,52,0.019230769
01/03/2020,3,64,0.046875
02/03/2020,5,67,0.074626866
03/03/2020,3,91,0.032967033
04/03/2020,2,82,0.024390244
05/03/2020,2,67,0.029850746
06/03/2020,1,78,0.012820513
07/03/2020,0,53,0
08/03/2020,2,80,0.025
09/03/2020,4,84,0.047619048
10/03/2020,3,95,0.031578947
11/03/2020,2,84,0.023809524
12/03/2020,4,88,0.045454545
13/03/2020,3,116,0.025862069
14/03/2020,5,41,0.12195122
15/03/2020,4,45,0.088888889
16/03/2020,3,79,0.037974684
17/03/2020,3,88,0.034090909
18/03/2020,5,98,0.051020408
19/03/2020,6,84,0.071428571
20/03/2020,5,82,0.06097561
21/03/2020,2,47,0.042553191
22/03/2020,1,55,0.018181818
23/03/2020,6,81,0.074074074
24/03/2020,5,97,0.051546392
25/03/2020,0,80,0
26/03/2020,2,81,0.024691358
27/03/2020,0,73,0
28/03/2020,0,41,0
29/03/2020,2,49,0.040816327
30/03/2020,2,66,0.03030303
31/03/2020,5,71,0.070422535
01/04/2020,7,79,0.088607595
02/04/2020,3,71,0.042253521
03/04/2020,1,86,0.011627907
04/04/2020,2,46,0.043478261
05/04/2020,0,56,0
06/04/2020,2,59,0.033898305
07/04/2020,1,55,0.018181818
08/04/2020,2,67,0.029850746
09/04/2020,1,61,0.016393443
10/04/2020,0,72,0
11/04/2020,1,51,0.019607843
12/04/2020,1,49,0.020408163
13/04/2020,2,68,0.029411765
14/04/2020,2,79,0.025316456
15/04/2020,2,71,0.028169014
16/04/2020,1,69,0.014492754
17/04/2020,2,88,0.022727273
18/04/2020,0,39,0
19/04/2020,0,50,0
20/04/2020,1,93,0.010752688
21/04/2020,1,89,0.011235955
22/04/2020,1,74,0.013513514
23/04/2020,0,87,0
24/04/2020,3,83,0.036144578
25/04/2020,2,43,0.046511628
26/04/2020,1,35,0.028571429
27/04/2020,3,73,0.04109589
28/04/2020,1,67,0.014925373
29/04/2020,2,72,0.027777778
30/04/2020,2,102,0.019607843
01/05/2020,1,66,0.015151515
02/05/2020,1,48,0.020833333
03/05/2020,1,50,0.02
04/05/2020,0,63,0
05/05/2020,1,68,0.014705882
06/05/2020,3,90,0.033333333
07/05/2020,0,87,0
08/05/2020,2,79,0.025316456
09/05/2020,1,51,0.019607843
10/05/2020,2,51,0.039215686
11/05/2020,3,91,0.032967033
12/05/2020,0,92,0
13/05/2020,1,70,0.014285714
14/05/2020,1,71,0.014084507
15/05/2020,2,71,0.028169014
16/05/2020,0,55,0
17/05/2020,2,45,0.044444444
18/05/2020,0,87,0
19/05/2020,1,75,0.013333333
20/05/2020,4,76,0.052631579
21/05/2020,1,67,0.014925373
22/05/2020,2,84,0.023809524
23/05/2020,2,31,0.064516129
24/05/2020,1,47,0.021276596
25/05/2020,1,73,0.01369863
26/05/2020,1,81,0.012345679
27/05/2020,0,79,0
28/05/2020,1,76,0.013157895
29/05/2020,0,73,0
30/05/2020,1,48,0.020833333
31/05/2020,0,54,0
