"","igae","ipc","ifb","cetes","epu","mon","fis","com","reg"
"1"," 61.6600"," 1653.22"," 59.35","16.72"," 0.2798507","0.09328358","0.09328358","0.00000000","0.09328358"
"2"," 62.5778"," 1546.68"," 61.96","17.74"," 1.1255924","0.53317536","0.17772512","0.17772512","0.23696682"
"3"," 62.3423"," 1771.71"," 64.83","17.47"," 0.9139785","0.32258065","0.32258065","0.05376344","0.21505376"
"4"," 62.4215"," 1665.41"," 57.91","16.17"," 0.7080610","0.21786492","0.21786492","0.10893246","0.16339869"
"5"," 63.0411"," 1612.99"," 57.28","15.04"," 1.6012397","0.67148760","0.56818182","0.05165289","0.30991736"
"6"," 62.5691"," 1670.29"," 57.53","15.50"," 1.7690875","0.60521415","0.60521415","0.37243948","0.18621974"
"7"," 63.2106"," 1769.71"," 58.08","13.85"," 1.6349978","0.57445868","0.48608042","0.26513478","0.30932391"
"8"," 63.0373"," 1905.59"," 62.55","13.68"," 1.3201320","0.33003300","0.56577086","0.14144272","0.28288543"
"9"," 62.8239"," 1840.72"," 64.90","13.71"," 1.4388489","0.43165468","0.62350120","0.23980815","0.14388489"
"10"," 62.8741"," 2020.26"," 63.07","13.13"," 2.5219941","0.87976540","0.70381232","0.35190616","0.58651026"
"11"," 62.6660"," 2215.69"," 66.07","14.38"," 4.7323764","1.42559850","1.79299595","0.52910053","0.98468139"
"12"," 63.8866"," 2602.63"," 70.74","11.78"," 4.8165680","1.20710059","2.00000000","0.90335306","0.70611440"
"13"," 64.3740"," 2781.37"," 68.97","10.52"," 6.1785624","1.37323835","1.86267039","0.49010553","2.45254809"
"14"," 64.4017"," 2585.44"," 70.91"," 9.45"," 3.8761657","0.68754181","0.79368827","0.40146775","1.99346791"
"15"," 65.0181"," 2410.40"," 75.10"," 9.73"," 8.4831869","1.98658523","1.19521557","1.04347050","4.25791561"
"16"," 65.9321"," 2294.10"," 71.94","15.79","10.8667990","2.58360055","2.77192447","1.45772892","4.05354507"
"17"," 65.8366"," 2483.70"," 66.95","16.36"," 6.7752567","2.07884396","2.74908100","1.03942198","0.90790975"
"18"," 66.3342"," 2262.60"," 69.25","16.18"," 5.6536947","1.41342368","1.97879315","0.70935795","1.55211994"
"19"," 65.7357"," 2462.30"," 68.82","17.07"," 6.4609521","1.49366792","2.31574416","0.88438554","1.76715446"
"20"," 66.2263"," 2702.70"," 75.37","14.46"," 7.5032431","1.70210576","2.48476566","1.07418275","2.24218896"
"21"," 66.5621"," 2746.10"," 73.97","13.76"," 5.6130307","1.67577275","2.51330781","0.67059015","0.75335998"
"22"," 66.8941"," 2552.10"," 72.13","13.60"," 5.2454263","0.98882399","2.24015799","0.15560849","1.86083585"
"23"," 66.6176"," 2591.30"," 71.20","13.74"," 5.9055118","1.65354331","1.73228346","0.47244094","2.04724409"
"24"," 66.1563"," 2375.70"," 68.89","18.51"," 9.7470081","2.82892746","3.20460684","0.89193372","2.82154010"
"25"," 65.9875"," 2094.00"," 56.30","37.25","16.8616327","5.31448531","5.22032335","0.97990951","5.34691454"
"26"," 62.0124"," 1549.80"," 45.64","41.69","14.5433038","4.71780604","4.26565221","1.90930426","3.65054130"
"27"," 61.4463"," 1832.80"," 47.68","69.54"," 8.4950474","2.48711236","2.71652587","0.69768697","2.59372217"
"28"," 60.8413"," 1960.50"," 41.86","74.75"," 4.6177770","1.70814246","1.39160614","0.44295857","1.07506982"
"29"," 59.6930"," 1945.10"," 39.85","59.17"," 5.7112185","1.88284895","1.88284895","0.07886435","1.86665627"
"30"," 60.5862"," 2196.10"," 40.22","47.25"," 1.4306421","0.31162000","0.31162000","0.10976948","0.69763258"
"31"," 60.8491"," 2375.20"," 41.08","40.94"," 3.5095161","1.06216580","0.80754661","0.80754661","0.83225703"
"32"," 61.3719"," 2517.00"," 44.66","35.14"," 2.8484413","0.45134280","0.82766972","0.26862673","1.30080205"
