,fecha,titulo,periodico,topico
0,22-Nov-1993,Repuntará TLC la economía,reforma,1
1,22-Nov-1993,Reactivará Salinas la economía,reforma,4
2,22-Nov-1993,Debe mantenerse prudencia financiera,reforma,5
3,28-Nov-1993,¿Mutaciones Políticas?,reforma,4
4,29-Nov-1993,Jonathan Heath C./ La Cartera Vencida: Mito y Realidad,reforma,5
5,29-Nov-1993,Dicen analistas que es corrección el actual desplome de Wall Street,reforma,7
6,03-Dic-1993,Everardo Elizondo A. / El futuro del interés,reforma,2
7,03-Dic-1993,El TLC es un acto de defensa propia.- Gurría,reforma,4
8,03-Dic-1993,Proponen regular a las franquicias,reforma,8
9,05-Dic-1993,Presenta Galeano nuevo libro en Guadalajara,reforma,3
10,06-Dic-1993,Las bajas tasas de interés impulsan a la economía de los Estados Unidos,reforma,9
11,06-Dic-1993,Ricardo Medina Macías / Las tasas de interés en 1994: póngale precio al futuro,reforma,2
12,07-Dic-1993,A Corto Plazo / 'Cargada Financiera',reforma,5
13,08-Dic-1993,Coordenadas / ¿Se pasó la dosis?,reforma,5
14,10-Dic-1993,Alerta Boris Yeltsin contra guerra civil,reforma,4
15,14-Dic-1993,What's News,reforma,9
16,14-Dic-1993,Empresa / El GATT o en la ratonera,reforma,8
17,15-Dic-1993,Jorge Suárez Vélez / ¿Qué saben ellos que nosotros ignoramos?,reforma,5
18,16-Dic-1993,Crece la producción industrial en EU,reforma,7
19,20-Dic-1993,Registrará OCDE reactivación,reforma,1
20,22-Dic-1993,Vive la economía círculo vicioso,reforma,1
21,31-Dic-1993,Estabilizan endeudamiento externo,reforma,5
22,01-Ene-1994,Año de recesión,reforma,1
23,04-Ene-1994,Baja la Bolsa por nerviosismo,reforma,0
24,04-Ene-1994,Cae la BMV por corrección y no por Chiapas.- Analistas,reforma,4
25,05-Ene-1994,Descartan efectos negativos para la economía y el peso,reforma,1
26,05-Ene-1994,Recauda AL Dls. 35 mil millones por privatizaciones,reforma,9
27,07-Ene-1994,Adrián Lajous / Autonomía del Banco de México,reforma,4
28,07-Ene-1994,Ricardo Medina Macías / Los fantasmas que vienen del sur,reforma,4
29,08-Ene-1994,Sobreaviso / Riesgo de ruptura,reforma,4
30,09-Ene-1994,El invierno del salinismo,reforma,4
31,11-Ene-1994,Pierde 6 por ciento la Bolsa,reforma,0
32,14-Ene-1994,Empresa  / Derrumbe de Inversión Privada en 1993,reforma,4
33,17-Ene-1994,Peligran las reformas económicas en Rusia,reforma,4
34,17-Ene-1994,Coordenadas / Chiapas y la inversión en México,reforma,6
35,18-Ene-1994,Se ahonda  la crisis  económica  en Rusia,reforma,7
36,20-Ene-1994,Ofrece quedarse ministro ruso,reforma,4
37,20-Ene-1994,Nuestra opinión financiera: Samuel García,reforma,5
38,20-Ene-1994,A Corto Plazo / Alimentando la especulación,reforma,5
39,21-Ene-1994,Dominan conservadores,reforma,4
40,21-Ene-1994,Coordenadas / Tras el nuevo calendario,reforma,4
41,23-Ene-1994,Luis Rubio / Chiapas o el sistema político,reforma,4
42,24-Ene-1994,What's News,reforma,9
43,24-Ene-1994,Rechazo de reforma política indicaría cambio en estructura de poder de Japón,reforma,4
44,26-Ene-1994,Carlos Salazar Lomelín  / El camino hacia la eficiencia,reforma,5
45,27-Ene-1994,Empresa / México sí jugará la carta de Davós,reforma,4
46,27-Ene-1994,El colapso bancario y los temores políticos sacuden al sistema financiero venezolano,reforma,7
47,31-Ene-1994,Promueven retiro de burócratas,reforma,5
48,01-Feb-1994,Sufren desempleo y temor en Chiapas,reforma,3
49,01-Feb-1994,Ricardo Medina Macias / Requisitos para el crecimiento en 1994 (I),reforma,5
50,02-Feb-1994,Coordenadas / Cuidado con la imagen externa,reforma,4
51,04-Feb-1994,Entrevista / Cárdenas en 67 respuestas,reforma,4
52,07-Feb-1994,Pinta mal el futuro de artes gráficas,reforma,9
53,07-Feb-1994,Inicia Brasil y el FMI negociaciones definitivas,reforma,7
54,07-Feb-1994,Clinton y la FED acordes en el incremento de los créditos,reforma,7
55,11-Feb-1994,Son alcanzables las metas económicas,reforma,2
56,15-Feb-1994,Prevalece la incertidumbre,reforma,7
57,16-Feb-1994,José Antonio Crespo / Chiapas y el problema migratorio en EU,reforma,4
58,17-Feb-1994,Es apoyo electoral la política de gasto,reforma,4
59,18-Feb-1994,Empresa / México venció a los tigres,reforma,8
60,18-Feb-1994,Prevé Soto decrecimiento de la economía nacional,reforma,4
61,19-Feb-1994,Afectará elecciones el conflicto,reforma,4
62,24-Feb-1994,Empresa / TLC: primera derrota,reforma,8
63,24-Feb-1994,El difícil arte de privatizar en Brasil,reforma,9
64,25-Feb-1994,"Adrián Lajous / No te revientes, riata",reforma,4
65,26-Feb-1994,Acusa IP reforma al vapor,reforma,4
66,27-Feb-1994,Los sinuosos caminos de la reintegración,reforma,4
67,28-Feb-1994,Empresa / Qué hay detrás de la debacle,reforma,8
68,01-Mar-1994,Coordenadas / Tras la reestructuración de la cartera vencida,reforma,5
69,02-Mar-1994,Empresa / Ex cúpulos contra Camacho,reforma,8
70,04-Mar-1994,Reporta ICA ventas estancadas,reforma,8
71,06-Mar-1994,Guadalupe Loaeza / La mujer antes y ahora,reforma,3
72,10-Mar-1994,Coordenadas / El 'factor Camacho' en los mercados,reforma,4
73,10-Mar-1994,Sigue tendencia alcista de tasas; baja la Bolsa,reforma,2
74,11-Mar-1994,Entrevista / Juan Linz / Legitimar la democracia,reforma,4
75,11-Mar-1994,Empresa / De un campesino a un banquero,reforma,3
76,11-Mar-1994,Carlos Elizondo Mayer-Serra / El Artículo 27 en disputa,reforma,4
77,11-Mar-1994,Bajan acciones mexicanas por la agitación preelectoral,reforma,4
78,14-Mar-1994,Persisten deudas en mercados,reforma,4
79,14-Mar-1994,Empresa / Otra vez las carreteras privadas,reforma,8
80,14-Mar-1994,Desaparece la afición de Penélope,reforma,9
81,15-Mar-1994,Persiste turbulencia en mercados,reforma,0
82,15-Mar-1994,Desciende la bolsa a 81 puntos,reforma,0
83,15-Mar-1994,Al Alza y a la Baja / La bolsa sigue sufriendo el nerviosismo,reforma,8
84,16-Mar-1994,Presentaron proyecto econométrico,reforma,1
85,16-Mar-1994,"Nombres, Nombres y ... Nombres / Ritz-Carlton construirá con Opción tres hoteles más en México: en Reforma, Insurgentes y Guadalajara",reforma,8
86,16-Mar-1994,La semana de los candidatos: 'No renunciaré',reforma,4
87,16-Mar-1994,Coordenadas / Historias de turbulencia financiera,reforma,4
88,16-Mar-1994,Apoyan ingreso chino en la OMC,reforma,9
89,22-Mar-1994,Caen valores mexicanos en EU,reforma,0
90,22-Mar-1994,Federico Reyes Heroles / 1994: Recuerdos del porvenir (I),reforma,4
91,23-Mar-1994,Hay riesgo de 'vía crucis político',reforma,4
92,23-Mar-1994,Prevén crisis de gobernabilidad,reforma,4
93,23-Mar-1994,Reserva Federal incrementa tasas y revela mayor acción,reforma,7
