date,today
01/01/1990,1070
01/02/1990,1103
01/03/1990,1150
01/04/1990,939
01/05/1990,1175
01/06/1990,1068
01/07/1990,994
01/08/1990,905
01/09/1990,882
01/10/1990,1075
01/11/1990,1044
01/12/1990,1012
01/01/1991,973
01/02/1991,975
01/03/1991,1008
01/04/1991,1049
01/05/1991,1250
01/06/1991,1175
01/07/1991,1258
01/08/1991,1223
01/09/1991,968
01/10/1991,1250
01/11/1991,1258
01/12/1991,959
01/01/1992,977
01/02/1992,1088
01/03/1992,1078
01/04/1992,1206
01/05/1992,1246
01/06/1992,1108
01/07/1992,1428
01/08/1992,1338
01/09/1992,1541
01/10/1992,2090
01/11/1992,2154
01/12/1992,1942
01/01/1993,1072
01/02/1993,1688
01/03/1993,1860
01/04/1993,1836
01/05/1993,1936
01/06/1993,2148
01/07/1993,2263
01/08/1993,2121
01/09/1993,2085
01/10/1993,1705
01/11/1993,1134
01/12/1993,1014
01/01/1994,1023
01/02/1994,1032
01/03/1994,1318
01/04/1994,1062
01/05/1994,1372
01/06/1994,1389
01/07/1994,1454
01/08/1994,1318
01/09/1994,1198
01/10/1994,1341
01/11/1994,1270
01/12/1994,1246
01/01/1995,1062
01/02/1995,888
01/03/1995,1106
01/04/1995,1052
01/05/1995,1268
01/06/1995,1086
01/07/1995,1462
01/08/1995,1164
01/09/1995,1184
01/10/1995,1364
01/11/1995,1254
01/12/1995,1114
01/01/1996,1033
01/02/1996,1038
01/03/1996,1248
01/04/1996,1138
01/05/1996,1187
01/06/1996,1157
01/07/1996,1426
01/08/1996,1255
01/09/1996,1231
01/10/1996,1481
01/11/1996,1404
01/12/1996,1220
01/01/1997,1266
01/02/1997,1373
01/03/1997,1389
01/04/1997,1467
01/05/1997,1618
01/06/1997,1740
01/07/1997,1476
01/08/1997,1448
01/09/1997,1460
01/10/1997,1710
01/11/1997,1468
01/12/1997,1229
01/01/1998,1328
01/02/1998,1331
01/03/1998,1572
01/04/1998,1539
01/05/1998,1483
01/06/1998,1707
01/07/1998,1509
01/08/1998,1450
01/09/1998,1330
01/10/1998,1311
01/11/1998,1326
01/12/1998,1164
01/01/1999,1223
