date,today
01/01/1990,0
01/02/1990,0
01/03/1990,0
01/04/1990,0
01/05/1990,0
01/06/1990,0
01/07/1990,0
01/08/1990,0
01/09/1990,0
01/10/1990,0
01/11/1990,0
01/12/1990,0
01/01/1991,0
01/02/1991,0
01/03/1991,0
01/04/1991,0
01/05/1991,0
01/06/1991,0
01/07/1991,0
01/08/1991,0
01/09/1991,0
01/10/1991,0
01/11/1991,0
01/12/1991,0
01/01/1992,0
01/02/1992,0
01/03/1992,0
01/04/1992,0
01/05/1992,0
01/06/1992,0
01/07/1992,0
01/08/1992,0
01/09/1992,0
01/10/1992,0
01/11/1992,0
01/12/1992,0
01/01/1993,0
01/02/1993,0
01/03/1993,0
01/04/1993,0
01/05/1993,0
01/06/1993,0
01/07/1993,0
01/08/1993,0
01/09/1993,0
01/10/1993,0
01/11/1993,439
01/12/1993,975
01/01/1994,1016
01/02/1994,985
01/03/1994,1190
01/04/1994,1110
01/05/1994,1288
01/06/1994,1442
01/07/1994,1489
01/08/1994,1268
01/09/1994,1188
01/10/1994,1234
01/11/1994,1270
01/12/1994,1119
01/01/1995,723
01/02/1995,595
01/03/1995,938
01/04/1995,791
01/05/1995,1052
01/06/1995,911
01/07/1995,1074
01/08/1995,1033
01/09/1995,952
01/10/1995,1068
01/11/1995,1047
01/12/1995,955
01/01/1996,844
01/02/1996,921
01/03/1996,1119
01/04/1996,1009
01/05/1996,1127
01/06/1996,1123
01/07/1996,1331
01/08/1996,1169
01/09/1996,1118
01/10/1996,1328
01/11/1996,1330
01/12/1996,1365
01/01/1997,1174
01/02/1997,1204
01/03/1997,1275
01/04/1997,1361
01/05/1997,1456
01/06/1997,1630
01/07/1997,1368
01/08/1997,1354
01/09/1997,1479
01/10/1997,1618
01/11/1997,1429
01/12/1997,1349
01/01/1998,1293
01/02/1998,1314
01/03/1998,1526
01/04/1998,1445
01/05/1998,1504
01/06/1998,1793
01/07/1998,1614
01/08/1998,1683
01/09/1998,1554
01/10/1998,1522
01/11/1998,1468
01/12/1998,1402
01/01/1999,1350
01/02/1999,1373
01/03/1999,1548
01/04/1999,1520
01/05/1999,1674
01/06/1999,1657
01/07/1999,1847
01/08/1999,1759
01/09/1999,1696
01/10/1999,1820
01/11/1999,1772
01/12/1999,1560
01/01/2000,1591
01/02/2000,1568
01/03/2000,1739
01/04/2000,2800
01/05/2000,1942
01/06/2000,1905
01/07/2000,1890
01/08/2000,1862
01/09/2000,1961
01/10/2000,1755
01/11/2000,1753
01/12/2000,1767
01/01/2001,1991
01/02/2001,2347
01/03/2001,2889
01/04/2001,2416
01/05/2001,2671
01/06/2001,2887
01/07/2001,2763
01/08/2001,2551
01/09/2001,2327
01/10/2001,2363
01/11/2001,2389
01/12/2001,2244
01/01/2002,2142
01/02/2002,2285
01/03/2002,2364
01/04/2002,2390
01/05/2002,2244
01/06/2002,2150
01/07/2002,2236
01/08/2002,2293
01/09/2002,2518
01/10/2002,2305
01/11/2002,2495
01/12/2002,2218
01/01/2003,2304
01/02/2003,2251
01/03/2003,2574
01/04/2003,2600
01/05/2003,2693
01/06/2003,2680
01/07/2003,3020
01/08/2003,3039
01/09/2003,2988
01/10/2003,2245
01/11/2003,3209
01/12/2003,3074
01/01/2004,2851
01/02/2004,2755
01/03/2004,3140
01/04/2004,2863
01/05/2004,3091
01/06/2004,3046
01/07/2004,3086
01/08/2004,3182
01/09/2004,3255
01/10/2004,3371
01/11/2004,3179
01/12/2004,2866
01/01/2005,2632
01/02/2005,2608
01/03/2005,2920
01/04/2005,2860
01/05/2005,2716
01/06/2005,2647
01/07/2005,2576
01/08/2005,2569
01/09/2005,2662
01/10/2005,2729
01/11/2005,2545
01/12/2005,2442
01/01/2006,2627
01/02/2006,2595
01/03/2006,3235
01/04/2006,2646
01/05/2006,3110
01/06/2006,3015
01/07/2006,2906
01/08/2006,3085
01/09/2006,3229
01/10/2006,3200
01/11/2006,2993
01/12/2006,2657
01/01/2007,2847
01/02/2007,2630
01/03/2007,3163
01/04/2007,2920
01/05/2007,3111
01/06/2007,2845
01/07/2007,2843
01/08/2007,2706
01/09/2007,2921
01/10/2007,2907
01/11/2007,2883
01/12/2007,2551
01/01/2008,2691
01/02/2008,2746
01/03/2008,3047
01/04/2008,3223
01/05/2008,2950
01/06/2008,2920
01/07/2008,3107
01/08/2008,3216
01/09/2008,3072
01/10/2008,3482
01/11/2008,3090
01/12/2008,2724
01/01/2009,2719
01/02/2009,2635
01/03/2009,2952
01/04/2009,2871
01/05/2009,2852
01/06/2009,2948
01/07/2009,2878
