fechas,serie,indice,,,,,,,
01/04/1994,10.866799,epu,,,,,,,
01/01/1995,16.86163271,epu,,,,,,,
01/02/1995,14.54330381,epu,,,,,,,
01/11/1995,11.40739319,epu,,,,,,,
01/09/1998,11.11833638,epu,,,,,,,
01/01/1999,12.57911386,epu,,,,,,,
01/09/2001,14.11215199,epu,,,Periodos,Fecha inicio,Fecha Maximo,Evento,
01/10/2001,14.88950399,epu,,,1,01/04/1994,01/04/1994,Asesinato de Luis Donaldo Colosio,
01/01/2003,15.85612441,epu,,,2,01/01/1995,01/01/1995,Crisis económica de 1995,
01/02/2003,12.51153846,epu,,,1,01/11/1995,01/11/1995,Especulación contra el peso,
01/03/2003,12.81628405,epu,,,1,01/09/1998,01/09/1998,Caída de los precios del petróleo,
01/10/2008,10.33112237,epu,,,1,01/01/1999,01/01/1999,"Crisis económica en Brasil, caída de las bolsas de LA",
01/08/2011,13.34726696,epu,,,2,01/09/2001,01/10/2001,Atentados contra las Torres Gemelas,
01/09/2011,10.35136075,epu,,,3,01/01/2003,01/01/2003,Depreciación del peso,
01/12/2011,11.17396366,epu,,,1,01/10/2008,01/10/2008,Crisis financiera global,
01/01/2012,12.02721524,epu,,,2,01/08/2011,01/08/2011,Crisis de deuda y desaceleración económica en EEUU y  Europa,
01/02/2012,10.61819927,epu,,,3,01/12/2011,01/01/2012,Reunión de la UE para tomar medidas contra la crisis,
01/06/2012,13.67965108,epu,,,1,01/06/2012,01/06/2012,Continúa la Crisis Europea,
01/11/2016,11.26802994,epu,,,1,01/11/2016,01/11/2016,Donald Trump gana las elecciones para la presidencia de los EEUU,
01/01/2017,13.96160609,epu,,,2,01/01/2017,01/01/2017,Inicia la presidencia de Donald Trump,
01/06/2019,11.63091563,epu,,,3,01/06/2019,01/08/2019,Amenaza de Aranceles por parte de EEUU,
01/08/2019,13.40027933,epu,,,5,01/12/2019,01/03/2020,Pandemia por COVID-19,
01/09/2019,10.64031614,epu,,,,,,,
01/12/2019,10.77021781,epu,,,,,,,
01/01/2020,11.83213354,epu,,,,,,,
01/02/2020,12.39651036,epu,,,,,,,
01/03/2020,14.71341026,epu,,,,,,,
01/04/2020,13.14881471,epu,,,,,,,
,,,,,,,,,
01/01/1995,5.314485313,p_mon,,,,,,,
01/02/1995,4.717806041,p_mon,,,,,,,
01/10/1995,3.045679704,p_mon,,,,,,,
01/11/1995,4.285884025,p_mon,,,,,,,
01/08/1998,3.033458315,p_mon,,,,,,,
01/09/1998,3.573799363,p_mon,,,,,,,
01/01/1999,5.016720224,p_mon,,,Periodos,Fecha inicio,Fecha Maximo,Evento,
01/09/2001,4.606471604,p_mon,,,2,01/01/1995,01/01/1995,,
01/10/2001,5.210975466,p_mon,,,2,01/10/1995,01/11/1995,Crisis económica de 1995,
01/09/2002,3.121151767,p_mon,,,2,01/08/1998,01/09/1998,Caída de los precios del petróleo,
01/01/2003,4.903453721,p_mon,,,1,01/01/1999,01/01/1999,"Crisis económica en Brasil, caída de las bolsas de LA",
01/02/2003,3.71277095,p_mon,,,2,01/09/2001,01/10/2001,Atentados contra las Torres Gemelas,
01/03/2003,3.840716306,p_mon,,,1,01/09/2002,01/09/2002,,
01/10/2008,3.681560627,p_mon,,,3,01/01/2003,01/01/2003,Depreciación del peso,
01/08/2011,3.370756452,p_mon,,,1,01/10/2008,01/10/2008,Crisis financiera global,
01/09/2011,3.685581485,p_mon,,,2,01/08/2011,01/09/2011,Crisis de deuda y desaceleración económica en EEUU y  Europa,
01/12/2011,3.489299209,p_mon,,,3,01/12/2011,01/01/2012,Reunión de la UE para tomar medidas contra la crisis,
01/01/2012,4.279854513,p_mon,,,1,01/06/2012,01/06/2012,Continúa la Crisis Europea,
01/02/2012,3.67406224,p_mon,,,1,01/01/2017,01/01/2017,Inicia la presidencia de Donald Trump,
