fechas,serie,indice,,,,,,
01/04/1994,9.482872703,epu,,,,,,
01/01/1995,16.25251033,epu,,,,,,
01/02/1995,12.18525248,epu,,,,,,
01/11/1995,9.399834569,epu,,,,,,
01/09/1998,10.39964777,epu,,,Periodos,Fecha inicio,Fecha Máximo,Evento
01/01/1999,10.31596727,epu,,,1,01/04/1994,01/04/1994,Asesinato de Luis Donaldo Colosio
01/09/2001,14.28495067,epu,,,2,01/01/1995,01/01/1995,Crisis económica de 1995
01/10/2001,14.43296783,epu,,,1,01/11/1995,01/11/1995,Especulación contra el peso
01/01/2003,13.57670307,epu,,,1,01/09/1998,01/09/1998,Caída de los precios del petróleo
01/02/2003,10.46713945,epu,,,1,01/01/1999,01/01/1999,Crisis económica en Brasil / Caída de las bolsas de LA
01/03/2003,10.71941015,epu,,,2,01/09/2001,01/10/2001,Atentados contra las Torres Gemelas
01/10/2008,10.15920033,epu,,,3,01/01/2003,01/01/2003,Depreciación del peso
01/08/2011,12.48854638,epu,,,1,01/10/2008,01/10/2008,Crisis financiera global
01/12/2011,10.67288346,epu,,,1,01/08/2011,01/08/2011,Crisis de deuda y desaceleración económica en EEUU y  Europa
01/01/2012,10.91558224,epu,,,2,01/12/2011,01/01/2012,Reunión de la UE para tomar medidas contra la crisis
01/06/2012,10.02605104,epu,,,1,01/06/2012,01/06/2012,Continúa la Crisis Europea
01/11/2016,9.490465628,epu,,,3,01/11/2016,01/01/2017,Donald Trump gana las elecciones para la presidencia de los EEUU
01/12/2016,9.288136749,epu,,,2,01/06/2019,01/08/2019,Amenaza de Aranceles por parte de EEUU
01/01/2017,12.42399918,epu,,,6,01/12/2019,01/03/2020,Pandemia por COVID-19
01/06/2019,9.998846473,epu,,,,,,
01/08/2019,11.64063533,epu,,,,,,
01/12/2019,9.245663174,epu,,,,,,
01/01/2020,10.72623747,epu,,,,,,
01/02/2020,11.62649768,epu,,,,,,
01/03/2020,13.61876281,epu,,,,,,
01/04/2020,13.12305606,epu,,,,,,
01/05/2020,10.04853026,epu,,,,,,
,,,,,,,,
01/01/1995,5.729423072,p_mon,,,,,,
01/02/1995,5.27916572,p_mon,,,,,,
01/11/1995,4.142160559,p_mon,,,,,,
01/07/1998,3.442172245,p_mon,,,,,,
01/09/1998,3.820361715,p_mon,,,,,,
01/01/1999,3.955205095,p_mon,,,,,,
01/01/2000,3.236319904,p_mon,,,,,,
